modele,accuracy,balanced_acc,f1_macro,f1_weighted,roc_auc,pr_auc,rappel_COVID,rappel_Viral
efficientnetb0,0.8992125984251969,0.9109913701999824,0.9049621675484039,0.8996687095836315,0.9836870901961956,0.9658144320762225,0.9317343173431735,0.9356435643564357
resnet50,0.9020472440944882,0.9073530311904664,0.901686167785074,0.9011396154029118,0.9848027203333667,0.9693361667257433,0.8929889298892989,0.9801980198019802
hybride_cnn_gb,0.8636220472440945,0.8635537580048628,0.8734250275312359,0.8630253648908305,0.9710078377431989,0.9374021017294182,0.8745387453874539,0.8960396039603961
